ROUND,GAME,TEAM,HOME,2P,2PA,3PA,3P,FT,FTA,ORB,DRB,AST,TOV,STL,PTS
2,game_15,team_13,0,18,39,21,3,15,23,12,25,10,15,6,75
2,game_16,team_4,1,24,47,11,5,23,27,11,21,12,17,2,86
2,game_16,team_2,0,16,32,25,10,14,23,8,18,13,16,3,76
3,game_17,team_5,1,15,47,17,6,19,24,14,22,12,17,12,67
3,game_17,team_9,0,21,38,19,8,10,13,5,26,11,19,10,76
3,game_18,team_10,1,24,37,18,5,26,37,5,23,13,15,12,89
3,game_18,team_3,0,23,46,26,9,19,21,15,24,12,16,8,92
3,game_19,team_7,1,14,38,29,14,15,24,16,22,20,14,17,83
3,game_19,team_15,0,23,46,12,5,14,20,7,23,12,19,6,75
3,game_20,team_1,1,23,33,21,7,12,16,8,36,22,20,8,79
3,game_20,team_0,0,15,39,19,8,10,16,5,16,13,12,13,64
3,game_21,team_8,1,20,37,21,8,8,10,12,27,15,22,8,72
3,game_21,team_14,0,10,28,32,12,8,8,6,15,15,14,15,64
3,game_22,team_2,1,22,41,20,8,12,17,9,15,11,8,6,76
3,game_22,team_6,0,19,30,21,8,20,26,5,22,14,12,1,80
3,game_23,team_12,1,20,45,19,6,11,18,12,26,9,13,12,69
3,game_23,team_13,0,15,39,25,10,7,11,11,26,16,17,8,67
3,game_24,team_4,1,21,47,20,4,11,15,11,18,10,17,13,65
3,game_24,team_11,0,22,43,18,6,7,11,12,29,14,25,7,69
4,game_25,team_2,1,17,35,20,8,14,23,8,24,17,19,5,72
4,game_25,team_5,0,18,44,19,4,14,16,12,18,13,15,8,62
4,game_26,team_9,1,20,38,22,5,19,27,11,30,10,18,7,74
4,game_26,team_8,0,19,33,35,9,11,16,10,28,17,16,5,76
4,game_27,team_0,1,24,49,17,7,11,19,12,32,12,17,7,80
4,game_27,team_10,0,20,41,25,6,17,19,6,25,6,12,10,78
4,game_28,team_13,1,18,35,27,4,9,15,10,26,9,17,7,57
4,game_28,team_7,0,20,41,25,7,10,11,9,30,12,13,7,71
4,game_29,team_3,1,18,50,19,7,3,5,9,14,14,19,12,60
4,game_29,team_1,0,29,40,15,6,11,16,7,29,23,22,11,88
4,game_30,team_6,1,20,41,14,5,11,12,8,21,9,19,6,66
4,game_30,team_16,0,17,33,19,7,16,21,6,20,11,20,6,71
4,game_31,team_12,1,16,31,28,7,14,19,4,25,7,15,10,67
4,game_31,team_4,0,18,35,16,7,13,19,2,31,13,18,5,70
4,game_32,team_11,1,22,40,16,3,14,22,10,31,14,13,12,67
4,game_32,team_14,0,13,32,21,4,14,21,6,25,3,12,12,52
5,game_33,team_4,1,19,36,20,9,20,25,4,21,17,9,11,85
5,game_33,team_9,0,19,39,15,4,2,3,9,24,10,24,4,52
5,game_34,team_10,1,14,32,22,6,6,7,8,21,11,21,8,58
5,game_34,team_12,0,23,44,19,7,12,19,15,22,17,14,10,79
5,game_35,team_7,1,22,41,25,13,13,17,5,24,19,14,18,96
5,game_35,team_3,0,15,34,33,13,10,11,10,25,14,25,10,79
5,game_36,team_14,1,17,35,24,7,9,13,9,31,7,14,5,64
5,game_36,team_1,0,23,47,12,3,12,17,4,25,6,8,8,67
5,game_37,team_8,1,19,35,23,12,11,12,4,20,16,17,15,85
5,game_37,team_11,0,23,33,23,7,15,19,7,21,14,18,16,82
5,game_38,team_15,1,21,45,16,4,18,30,9,31,16,6,6,72
5,game_38,team_6,0,11,28,24,6,15,20,6,28,6,13,4,55
5,game_39,team_13,1,26,46,22,4,9,14,13,24,14,17,5,73
5,game_39,team_0,0,19,31,29,6,16,25,11,23,13,16,5,72
5,game_40,team_16,1,19,39,15,2,14,21,10,23,7,18,17,58
5,game_40,team_2,0,15,27,28,7,20,24,12,26,4,21,10,71
